item_id,item_score,beta
SW00273,3,0.0911314781696853
SW00255,4,0.0957276858626242
SW00277,4,0.0889178856663687
IP00308,3,0.0433216847575629
IP00302,3,0.384206527409001
IP00083,2,0.00809647435220545
IP00065,4,0.00959167296924601
GR00144,4,0.566916262681486
GR01702,3,0.588873016916139
GR00326,1,1.59833606162752
GR00107,4,0.423073828344305
